rank,brand,title,price,original_price,discount_rate,rating,review_count,url
210,헤지스,봄 스타일링을 위한 신상/ 이월 강력추천템! + 최대~ 20%할인!,118405,,15,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000172025873
211,,삼겹살/목심/앞다리 등 ~30%,2716,,30,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818574283
212,르무통,"벗고 싶지 않은 편안함 르무통 발편한 메리노울 운동화, 플랫",109900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000616111568
213,로라메르시에,[쓱 세일단독] 아이 섀도우 1+1,46997,,15,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000062871118
214,,"인기 과자/초콜릿/젤리 ~1+1, 쓱새벽배송",4680,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000572063427
215,도서출판보림,달님 안녕 보드북 세트+사과가 쿵+엄마랑 뽀뽀+아빠한테 찰딱+눈코입+사랑해 전9권 세트,80918,,9,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000543805378
216,부쉬넬,인기상품 부쉬넬 추가 재고 확보! 신제품 출시 /  거리측정기 外 골프용품 특가  알투지/ 갤럭시 워치/ PXG,26392,,12,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000373432442
217,,(~40%) 한우&양념육 할인,9528,,40,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818505166
218,DIOR,NEW 디올 르 밤,80750,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000543699664
219,클라랑스,[직구] 뷰티 BEST 브랜드 특가 (에스티로더/라메르/시슬리/클라랑스 외),119400,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000698425315
220,유한킴벌리,티슈류/생리대/기저귀~1+1,32900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000754976116
221,신일전자,신일 5엽 14인치 기계식 스탠드 선풍기 SIF-C84WK,49900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000809737501
